contestant name,age,african_american,asian_american,latin_american,poc,gender_F,gender_M,gender_N,country_CA,country_US,finish
Hannah Rose,33,0,0,0,0,1,0,0,0,1,18
Brandon Donlon,26,0,0,0,0,0,1,0,0,1,17
Sabiyah Broderick,28,1,0,0,1,1,0,0,0,1,16
Sean Edwards,35,0,1,0,1,0,1,0,0,1,15
"Brandon ""Brando"" Meyer",23,0,1,0,1,0,1,0,0,1,14
"Janani ""J. Maya"" Krishnan-Jha",24,0,1,0,1,1,0,0,0,1,13
"Nicholas ""Sifu"" Alsup",30,1,0,0,1,0,1,0,0,1,12
Kaleb Gebrewold,29,1,0,0,1,0,1,0,1,0,11
Kellie Nalbandian,29,0,0,0,0,1,0,0,0,1,10
Kendra McQuarrie,30,0,0,0,0,1,0,0,0,1,9
Bruce Berreault,47,1,0,0,1,0,1,0,0,1,8
Emily Flippen,28,0,0,0,0,1,0,0,0,1,7
Drew Basile,23,0,0,0,0,0,1,0,0,1,6
Julie Alley,49,0,0,0,0,1,0,0,0,1,5
Katurah Topps,35,1,0,0,1,1,0,0,0,1,4
Jake O'Kane,26,0,0,0,0,0,1,0,0,1,3
Austin Li Coon,26,0,1,0,1,0,1,0,0,1,2
Dee Valladares,26,0,0,1,1,1,0,0,0,1,1
